Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Country.of.Origin,Variety,Processing.Method,Total.Cup.Points,GMM_Cluster,Hierarchical_Cluster,Spectral_Cluster,GMM_Max_Probability
8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,Ethiopia,Unknown,Washed / Wet,90.58,0,1,1,1.0
8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,Ethiopia,Other,Washed / Wet,89.92,0,1,1,1.0
8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,Guatemala,Bourbon,Unknown,89.75,0,1,1,0.9999999999999929
8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,Ethiopia,Unknown,Natural / Dry,89.0,0,1,1,0.9999999999999787
8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,Ethiopia,Other,Washed / Wet,88.83,0,1,1,0.9999999999996909
8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,Brazil,Unknown,Natural / Dry,88.83,0,1,1,0.9999999999999929
8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,Peru,Other,Washed / Wet,88.75,0,1,1,0.9999999999997549
8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,Ethiopia,Unknown,Unknown,88.67,0,1,1,0.999999999999897
8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,Ethiopia,Unknown,Unknown,88.42,0,1,1,1.0
8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,Ethiopia,Other,Natural / Dry,88.25,0,1,1,0.9999999999989839
8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,Ethiopia,Unknown,Natural / Dry,88.08,0,1,1,0.9999999999281997
8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,United States,Other,Washed / Wet,87.92,0,1,1,0.9999999756087131
8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,United States,Other,Washed / Wet,87.92,0,1,1,0.9999999998998206
8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,United States (Hawaii),Unknown,Unknown,87.92,0,1,1,0.999999953923049
8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,Ethiopia,Unknown,Unknown,87.83,0,1,1,1.0
8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,United States,Other,Washed / Wet,87.58,0,1,1,0.999999999402652
8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,Indonesia,Unknown,Unknown,87.42,0,1,1,0.9999999365669832
8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,Ethiopia,Unknown,Unknown,87.33,0,1,1,0.9999999997988809
8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,China,Catimor,Washed / Wet,87.25,0,1,1,0.9999893543719118
8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,87.25,0,1,1,0.9999790577172082
8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,United States,Other,Washed / Wet,87.25,0,1,1,0.9999992728115906
8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,Costa Rica,Caturra,Washed / Wet,87.17,0,1,1,0.9999653176428689
